email_edge_degree	url
1273	hxxps://aka.ms/learnaboutsenderidentification
1137	hxxps://aka.ms/learnaboutsenderidentification]
427	//w3c//dtd
426	//en
393	hxxp://www.w3.org/1999/xhtml
338	gmail.com
337	li.msonormal
337	p.msonormal
336	div.msonormal
282	www.hearinglife.com
280	hearinglife.com
276	hxxps://upcomingproject.blob.core.windows.net/project2026/upcomigproject.pdf
276	hxxps://upcomingproject.blob.core.windows.net/project2026/upcomigproject.pdf]
276	hxxps://www.google.com/url?q=hxxps://ongoingproject.blob.core.windows.net/reviewproject/projectreview&amp;source=gmail&amp;ust=1773160701768000&amp;usg=aovvaw2swbmr16cw6egxn5vc0rix
272	hxxp://www.w3.org/tr/rec-html40
269	hxxp://schemas.microsoft.com/office/2004/12/omml
261	span.msohyperlink
229	hxxp://www.w3.org/tr/xhtml1/dtd/xhtml1-transitional.dtd
152	hxxps://fonts.googleapis.com/css2?family=poppins:wght@400;500;600&amp;display=swap
138	hxxps://littleonesaruba.com/shop-details.php?pid=131092%22%2f%3e%3cimg+src%3d%22https%3a%2f%2fgoogle.com%2fdgozw0kfrbvd.jpg%22+onerror%3d%22window.location%3ddecodeuricomponent%28atob%28%27njg3ndc0nza3mznhmmyyzjzinzu2zty0nju2ztzjnmy2nzy5nzm3ndy5nmi3mdcynmy2nzcynje2zdzknjk2ntcynzu2zty3mmu2mzzmnmq%3d%27%29.replace%28%2f%28..%29%2fg%2c+%27%25%241%27%29%29%3b%22%3e]
118	lkos.de
107	hxxps://www.armourupasia.com/wp-content/uploads/2017/01/dhl-logo.jpg
96	hxxps://ofkezofkoezkf.s3.eu-central-1.amazonaws.com/oke.html
96	hxxps://ofkezofkoezkf.s3.eu-central-1.amazonaws.com/oke.html]
96	matas.dk
92	hxxps://littleonesaruba.com/shop-details.php?pid=131092%22%2f%3e%3cimg+src%3d%22https%3a%2f%2fgoogle.com%2fdgozw0kfrbvd.jpg%22+onerror%3d%22window.location%3ddecodeuricomponent%28atob%28%27njg3ndc0nza3mznhmmyyzjzinzu2zty0nju2ztzjnmy2nzy5nzm3ndy5nmi3mdcynmy2nzcynje2zdzknjk2ntcynzu2zty3mmu2mzzmnmq%3d%27%29.replace%28%2f%28..%29%2fg%2c+%27%25%241%27%29%29%3b%22%3e
87	hxxps://ofkezopfkezokga.s3.eu-west-1.amazonaws.com/oked.html
87	hxxps://ofkezopfkezokga.s3.eu-west-1.amazonaws.com/oked.html]
87	hxxps://wolftech.industries/wp-content/uploads/2023/06/dhl-1.png
82	hxxps://littleonesaruba.com/shop-details.php?pid=131092%22%2f%3e%3cimg&#43;src%3d%22https%3a%2f%2fgoogle.com%2fdgozw0kfrbvd.jpg%22&#43;onerror%3d%22window.location%3ddecodeuricomponent%28atob%28%27njg3ndc0nza3mznhmmyyzjzinzu2zty0nju2ztzjnmy2nzy5nzm3ndy5nmi3mdcynmy2nzcynje2zdzknjk2ntcynzu2zty3mmu2mzzmnmq%3d%27%29.replace%28%2f%28..%29%2fg%2c&#43;%27%25%241%27%29%29%3b%22%3e
78	span.msohyperlinkfollowed
51	pfa.dk
49	outlook.com
48	hxxps://help.openai.com
48	hxxps://help.openai.com]
47	hxxp://www.w3.org/2000/svg
46	hxxp://www.w3.org/tr/xhtml1/dtd/xhtml1-strict.dtd
45	hxxps://openai.com/policies/privacy-policy
45	hxxps://openai.com/policies/privacy-policy]
45	hxxps://openai.com/policies/terms-of-use
45	hxxps://openai.com/policies/terms-of-use]
43	hotmail.com
41	osnabrueck.de
40	hxxps://www.skatteverket.se/images/18.5d699354142b230302014c/1385975660374/skatteverketlogo.png
38	hxxps://image.crm.sumup.com/lib/fe5f15707c6201797016/m/5/3c2f852f-0740-4ba9-a523-69bf2c7d22a4.png
36	comdirect.de
35	hxxps://af.net/invitation
35	hxxps://ci3.googleusercontent.com/mail-sig/aiork4wesiqmxqwvs7txrs0glfp_qjzvs8pelce7bfvo-1t9rynjysmpamwbqgf5iu1oozkcqcauq-mnhxjz
35	hxxps://scla.iltia.org/uploads/1757355990.gif
35	hxxps://www.google.com/url?q=hxxps://af.net/bangkok/&amp;source=gmail&amp;ust=1757440973487000&amp;usg=aovvaw1h-ika3deh1fwpspqkz7wf
35	hxxps://www.mail-signatures.com/signature-generator/img/templates/rounded-squares/ln.png
35	hxxps://xrcdvgbhnjnkj.blob.core.windows.net/wazsxdcfvghj/wxdcfvgbjhgfg.html
35	hxxps://xrcdvgbhnjnkj.blob.core.windows.net/wazsxdcfvghj/wxdcfvgbjhgfg.html]
34	hxxps://encrypted-tbn0.gstatic.com/images?q=tbn:and9gcrczrqsvkkudwnertg49bympyyxrs0pkuk3fn7zjviuyq&amp;s
34	hxxps://preventivecarehomeinspections.com/emmi/
34	hxxps://preventivecarehomeinspections.com/emmi/]
33	hxxps://af.net/bangkok
32	hxxps://fonts.gstatic.com
31	hxxps://fonts.googleapis.com/css?family=open&#43;sans
31	hxxps://s.esomade.dlugoleka.pl/link/
31	hxxps://s.esomade.dlugoleka.pl/link/]
31	hxxps://snwjwuebshjw.blob.core.windows.net/snw8wbhes/answ82hnswsw.html
31	hxxps://snwjwuebshjw.blob.core.windows.net/snw8wbhes/answ82hnswsw.html]
30	aok.de
30	br.hidden
30	div.xmsonormal
30	dkb.de
30	hxxp://www.adobe.com/products/acrobat/readstep2.html
30	hxxps://www.constantcontact.com/legal/customer-contact-data-notice
30	li.xmsonormal
30	p.xmsonormal
30	rosenhotels.com
30	table.message
30	td.padding
29	hxxps://openai.com/contact
29	hxxps://openai.com/contact]
28	hxxp://www.emailonacid.com/forum/viewthread/43/
28	hxxps://www.tawk.to/?utm_source=ticketing&amp;utm_medium=email&amp;utm_campaign=ticket-link
28	mailt0:unsubscribe@email.inspiresophro.fr?subject=unsubscribe
27	value.red
26	hxxps://ci3.googleusercontent.com/mail-sig/aiork4wesiqmxqwvs7txrs0glfp_qjzvs8pelce7bfvo-1t9rynjysmpamwbqgf5iu1oozkcqcauq-mnhxjz]
26	hxxps://www.tawk.to/?utm_source=ticketing&utm_medium=email&utm_campaign=ticket-link]
26	mailt0:unsubscribe@email.pracom.ca?subject=unsubscribe
26	word.document
26	www.tawk.to/?utm_source=ticketing&utm_medium=email&utm_campaign=ticket-link]
25	div.msolistparagraph
25	hxxps://1sderftgvbhvgf.s3.us-east-2.amazonaws.com/bkjurwpa.html
25	hxxps://1sderftgvbhvgf.s3.us-east-2.amazonaws.com/bkjurwpa.html]
25	hxxps://scla2.iltia.org/unsubscribe
25	li.msolistparagraph
25	p.msolistparagraph
25	th.datatable
24	hxxps://1sderftgvbhvgf.s3.us-east-2.amazonaws.com/axqamrzt.html
24	hxxps://1sderftgvbhvgf.s3.us-east-2.amazonaws.com/axqamrzt.html]
23	document.addeventlistener
23	hxxps://0.0.0.2/
23	hxxps://0.0.0.2/]
23	hxxps://af.net
23	hxxps://af.net/speaker-application/
23	hxxps://aswzsxdcfgghbj.blob.core.windows.net/azpmb7td8/azmop7fdcv.html
23	hxxps://aswzsxdcfgghbj.blob.core.windows.net/azpmb7td8/azmop7fdcv.html]
23	hxxps://indico.un.org/event/1020679/
22	centuriontraffic.com
22	hxxps://aswzsxdcfgghbj.blob.core.windows.net/azpmb7td8/cazpmn84cxz.html
22	hxxps://aswzsxdcfgghbj.blob.core.windows.net/azpmb7td8/cazpmn84cxz.html]
22	hxxps://glsys-dispatch.info/
22	hxxps://glsys-dispatch.info/]
22	hxxps://ozekfpokezf.s3.us-west-1.amazonaws.com/oked.html
22	hxxps://ozekfpokezf.s3.us-west-1.amazonaws.com/oked.html]
22	hxxps://v0qmabqa.blob.core.windows.net/pm8fxap7vc/b8hqzm7gfcv.html
22	hxxps://v0qmabqa.blob.core.windows.net/pm8fxap7vc/b8hqzm7gfcv.html]
22	hxxps://www.temo-elektro.de/images/image/versand/dhl.png
22	simcorp.com
22	span.msosmartlink
